Index_Value,Average_Self_BLEU
d4j_chart_2,0.7819035424669227
d4j_chart_4,0.7618304732189287
d4j_chart_14,0.7580353918382088
d4j_chart_16,0.7937181663837012
d4j_cli_5,0.8131868131868132
d4j_cli_30,0.7733812949640287
d4j_closure_2,0.804932735426009
d4j_closure_171,0.7788498159197664
d4j_codec_5,0.7181911088400613
d4j_codec_13,0.7802197802197802
d4j_codec_17,0.8049040511727079
d4j_csv_4,0.8022965551672492
d4j_csv_9,0.8208645054031588
d4j_csv_11,0.7397598870056498
d4j_gson_6,0.8207547169811321
d4j_gson_9,0.7650029708853239
d4j_jacksoncore_8,0.8220492866407263
d4j_jacksondatabind_3,0.8410404624277457
d4j_jacksondatabind_13,0.7913769123783032
d4j_jacksondatabind_80,0.8129217273954116
d4j_jacksondatabind_93,0.7665153807362582
d4j_jacksondatabind_95,0.7806776556776557
d4j_jacksondatabind_107,0.7726663689146941
d4j_jsoup_8,0.7990196078431373
d4j_jsoup_22,0.7950819672131147
d4j_jsoup_26,0.7993858751279427
d4j_jsoup_66,0.7948667324777887
d4j_jsoup_89,0.8075262183837137
d4j_lang_20,0.7971667739858339
d4j_lang_33,0.7828481510621558
d4j_lang_39,0.8229317851959361
d4j_lang_47,0.7834394904458599
d4j_lang_57,0.7896241830065359
d4j_math_4,0.7784599641852136
d4j_math_70,0.7870405456612353
d4j_math_79,0.7989145958297629
d4j_mockito_18,0.8080188679245283
d4j_mockito_38,0.791581805838425
