Index_Value,Average_Self_BLEU
d4j_chart_2,0.790071518721077
d4j_chart_4,0.8338687471317118
d4j_chart_14,0.7879042419151617
d4j_chart_16,0.7561962569549823
d4j_cli_5,0.788931788931789
d4j_cli_30,0.7826655052264808
d4j_closure_2,0.7922077922077922
d4j_closure_171,0.7284702930370105
d4j_codec_5,0.7603860679815359
d4j_codec_13,0.7951198990323938
d4j_codec_17,0.7738814993954051
d4j_csv_4,0.7665692007797271
d4j_csv_9,0.7809744779582367
d4j_csv_11,0.758592132505176
d4j_gson_6,0.7209405501330968
d4j_gson_9,0.781517875810161
d4j_jacksoncore_8,0.7881705639614855
d4j_jacksondatabind_3,0.7996118389131489
d4j_jacksondatabind_13,0.7767584097859327
d4j_jacksondatabind_80,0.7442629327110074
d4j_jacksondatabind_93,0.7951907131011609
d4j_jacksondatabind_95,0.735071488645921
d4j_jacksondatabind_107,0.776987553975108
d4j_jsoup_8,0.7490079365079365
d4j_jsoup_22,0.7696655675930287
d4j_jsoup_26,0.765752409191994
d4j_jsoup_66,0.7430375046416636
d4j_jsoup_89,0.737037037037037
d4j_lang_20,0.77700904736562
d4j_lang_33,0.7763627101375445
d4j_lang_39,0.7521663778162911
d4j_lang_47,0.7547339945897205
d4j_lang_57,0.7508941721018304
d4j_math_4,0.7125916343251402
d4j_math_70,0.7706017293100406
d4j_math_79,0.8015267175572519
d4j_mockito_18,0.8177142857142857
d4j_mockito_38,0.8118598382749326
